Date,Open_Price,Close_Price,High_Price,Low_Price,Volume,Daily_Return_Pct,Volatility_Range,Market_Cap,SMA_20,SMA_50,RSI_14
07/11/1902,100.47,100.72,101.06,99.79,6374167,0.2488,1.27,159262237.6,99.811,98.663,53.73
10/11/1902,100.72,100.95,101.6,99.61,5996594,0.2284,1.99,148011992.1,99.97,98.663,54.87
11/11/1902,100.95,101.52,101.68,100.81,9799436,0.5646,0.87,241892196.3,100.174,98.663,57.67
12/11/1902,101.52,99.58,102.25,98.63,7378141,-1.911,3.62,128189551.9,100.324,98.663,47
13/11/1902,99.58,100.74,101.56,98.62,5903584,1.1649,2.94,224686979.6,100.576,98.663,52.64
14/11/1902,100.74,101.15,101.57,98.85,4351754,0.407,2.72,137434918.2,100.701,98.663,54.48
17/11/1902,101.15,99.78,101.92,98.9,9637994,-1.3544,3.02,311574774.8,100.782,98.648,47.79
18/11/1902,99.78,99.54,101.72,98.7,2507184,-0.2405,3.02,465790195.2,100.788,98.599,46.7
19/11/1902,99.54,99.28,102.26,98.65,7315795,-0.2612,3.61,363411258.3,100.775,98.554,45.5
20/11/1902,99.28,98.42,99.32,98.28,5759840,-0.8662,1.04,131398708.1,100.72,98.489,41.68
21/11/1902,98.42,98.41,98.61,97.8,7029451,-0.0102,0.81,118894496.2,100.665,98.476,41.63
24/11/1902,98.41,98.06,98.88,97.99,6264624,-0.3557,0.89,405537702.1,100.556,98.487,40.05
25/11/1902,98.06,97.84,98.54,97.23,3936402,-0.2244,1.31,126962791.3,100.374,98.523,39.04
26/11/1902,97.84,97.03,98.06,95.78,2039173,-0.8279,2.28,455689925.7,100.133,98.536,35.5
27/11/1902,97.03,97.66,99.42,96.8,7663269,0.6493,2.62,182591486.8,99.879,98.573,40.05
28/11/1902,97.66,96.85,98.97,96.1,9663273,-0.8294,2.87,285591404.8,99.598,98.607,36.49
01/12/1902,96.85,97.72,98.79,95.89,2726188,0.8983,2.9,274640255.1,99.402,98.662,42.42
02/12/1902,97.72,99.11,99.77,96.03,9931393,1.4224,3.74,416038805,99.257,98.724,50.39
03/12/1902,99.11,99.62,103.47,98.53,9724733,0.5146,4.94,239813113.5,99.222,98.781,52.96
04/12/1902,99.62,100.76,100.99,99.44,8887590,1.1443,1.55,220185908.4,99.237,98.867,58.18
05/12/1902,100.76,100.82,101.23,98.87,168834,0.0595,2.36,310501539,99.242,98.981,58.44
08/12/1902,100.82,100.15,103.14,98.28,5998540,-0.6646,4.86,288593593.9,99.202,99.079,54.36
09/12/1902,100.15,100.3,100.44,99.79,2035588,0.1498,0.65,421939482.4,99.141,99.16,55.11
10/12/1902,100.3,98.42,101.51,98.27,499395,-1.8744,3.24,411652655.6,99.083,99.209,45.04
11/12/1902,98.42,100.08,100.82,98.31,6369707,1.6866,2.51,332559798,99.05,99.267,53.18
12/12/1902,100.08,99.6,100.94,98.76,3227945,-0.4796,2.18,490301724.7,98.972,99.31,50.83
15/12/1902,99.6,98.82,101.26,98.49,1093233,-0.7831,2.77,430042578.5,98.924,99.339,47.19
16/12/1902,98.82,98.51,99.14,98.3,226615,-0.3137,0.84,200446776.4,98.873,99.344,45.79
17/12/1902,98.51,98.69,99.27,96.37,8979860,0.1827,2.9,122063089.9,98.843,99.382,46.78
18/12/1902,98.69,98.92,100.24,96.85,7081883,0.2331,3.39,344036905.1,98.868,99.423,48.08
19/12/1902,98.92,97.73,99.15,97.39,8448043,-1.203,1.76,181314201.3,98.834,99.446,42.3
22/12/1902,97.73,96.92,98.18,96.14,6567963,-0.8288,2.04,348987782.9,98.778,99.428,38.88
23/12/1902,96.92,96.37,98.02,94.26,5134921,-0.5675,3.76,157810993.6,98.704,99.407,36.71
24/12/1902,96.37,95.87,97.91,94.55,3743305,-0.5188,3.36,417380031,98.646,99.393,34.8
25/12/1902,95.87,95.87,96.63,93.94,1150567,0,2.69,214679045.2,98.556,99.396,34.8
26/12/1902,95.87,96.29,96.63,94.95,771747,0.4381,1.68,188420948.3,98.528,99.349,37.94
29/12/1902,96.29,94.39,97.57,93.77,1454330,-1.9732,3.8,222302353.2,98.362,99.274,30.74
30/12/1902,94.39,96.5,96.65,93.8,1136880,2.2354,2.85,383505658.4,98.232,99.215,43.55
31/12/1902,96.5,95.36,97.09,94.47,9752701,-1.1813,2.62,324134258.9,98.018,99.132,39.32
01/01/1903,95.36,94.66,95.84,94.45,4883177,-0.7341,1.39,117805264.1,97.714,99.034,36.94
02/01/1903,94.66,93.53,95.94,93.5,6424201,-1.1937,2.44,134398702.8,97.349,98.915,33.43
05/01/1903,93.53,91.81,94.48,90.36,581831,-1.839,4.12,396380053.5,96.932,98.746,28.93
06/01/1903,91.81,92.63,93.26,90.99,2690328,0.8931,2.27,309146714.4,96.548,98.569,33.53
07/01/1903,92.63,92.07,94.5,90.38,5113778,-0.6046,4.12,200411552.8,96.231,98.374,32
08/01/1903,92.07,90.28,93.29,89.61,4644877,-1.9442,3.68,213846853.1,95.741,98.125,27.68
09/01/1903,90.28,91.44,92.98,89.92,725510,1.2849,3.06,228782330,95.333,97.904,33.91
12/01/1903,91.44,92.27,93.08,90.14,3314908,0.9077,2.94,120137245.4,95.006,97.717,38.03
13/01/1903,92.27,92.29,92.53,91.41,6536460,0.0217,1.12,194026647.9,94.694,97.522,38.13
14/01/1903,92.29,92.61,92.74,92.19,5432287,0.3467,0.55,203753807.2,94.39,97.368,39.81
15/01/1903,92.61,93.21,95,92.17,2367336,0.6479,2.83,450186012.8,94.105,97.223,42.93
16/01/1903,93.21,91.77,93.48,89.95,2326360,-1.5449,3.53,149683192.1,93.807,97.044,37.86
19/01/1903,91.77,92.17,92.78,90.41,8964438,0.4359,2.37,159043434,93.569,96.868,39.98
20/01/1903,92.17,90.73,92.55,89.85,8955921,-1.5623,2.7,406964761.6,93.288,96.653,35.31
21/01/1903,90.73,90.5,91.89,90.02,8365390,-0.2535,1.87,422554386.5,93.019,96.471,34.61
22/01/1903,90.5,90.68,91.51,89.17,5196386,0.1989,2.34,360523481.7,92.76,96.27,35.68
23/01/1903,90.68,89.73,91,88.25,498345,-1.0476,2.75,137858611.6,92.432,96.041,32.65
26/01/1903,89.73,89.01,91.61,88.43,5034445,-0.8024,3.18,249551174.6,92.162,95.826,30.53
27/01/1903,89.01,87.51,89.33,86.69,5856466,-1.6852,2.64,283502989.6,91.713,95.585,26.65
28/01/1903,87.51,88.01,88.1,86.07,6112903,0.5714,2.03,281415790.9,91.346,95.36,29.85
29/01/1903,88.01,87.16,90.57,86.02,5753737,-0.9658,4.55,342961636,90.97,95.135,27.64
30/01/1903,87.16,87.39,87.4,87.06,2423139,0.2639,0.34,264932385.5,90.664,94.914,29.17
02/02/1903,87.39,86.61,88.09,85.65,6975877,-0.8926,2.44,315713820.7,90.404,94.685,27.08
03/02/1903,86.61,87.49,87.67,84.42,210775,1.016,3.25,429624869.9,90.146,94.478,32.91
04/02/1903,87.49,86.68,87.95,85.64,6705623,-0.9258,2.31,170779876.5,89.877,94.271,30.5
05/02/1903,86.68,87.71,89.52,84.76,5612067,1.1883,4.76,201200173.9,89.748,94.072,36.85
06/02/1903,87.71,88.07,89.59,87.03,1650396,0.4104,2.56,163664813.1,89.58,93.897,38.95
09/02/1903,88.07,86.75,89.9,85.57,3962942,-1.4988,4.33,175819769,89.304,93.677,34.43
10/02/1903,86.75,86.28,87.05,85.19,8573838,-0.5418,1.86,149729078,89.004,93.421,32.96
11/02/1903,86.28,87.44,87.81,85.59,7203768,1.3445,2.22,167049775.6,88.745,93.177,39.78
12/02/1903,87.44,87.55,89.14,86.84,7299903,0.1258,2.3,381374291.5,88.462,92.913,40.4
13/02/1903,87.55,87.76,88.25,85.91,3246340,0.2399,2.34,191566330.4,88.262,92.652,41.63
16/02/1903,87.76,87.99,89.59,87.16,8601881,0.2621,2.43,416297230.4,88.053,92.409,43.02
17/02/1903,87.99,86.64,88.63,85.98,5608956,-1.5343,2.65,385920729.1,87.848,92.135,37.39
18/02/1903,86.64,85.86,88.01,85.32,4090479,-0.9003,2.69,125183750,87.616,91.884,34.57
19/02/1903,85.86,85.86,86.29,84.58,2708571,0,1.71,326737786.6,87.375,91.6,34.57
20/02/1903,85.86,85.77,86.42,83.23,5337118,-0.1048,3.19,193601108.3,87.177,91.323,34.23
23/02/1903,85.77,86.36,87.57,85.56,367537,0.6879,2.01,204403195.1,87.044,91.074,38.56
24/02/1903,86.36,86.41,87.23,84.31,5025026,0.0579,2.92,255148753.6,86.989,90.832,38.92
25/02/1903,86.41,86.14,87.13,84.64,8689483,-0.3125,2.49,133020371.7,86.896,90.581,37.62
26/02/1903,86.14,86.22,86.44,84.26,1346516,0.0929,2.18,406545509.2,86.849,90.327,38.28
27/02/1903,86.22,86.02,87.63,85.56,9088807,-0.232,2.07,417755760.6,86.78,90.093,37.22
02/03/1903,86.02,86.61,86.73,85.54,2741276,0.6859,1.19,136351310.7,86.78,89.887,42.3
03/03/1903,86.61,86.98,88.35,86.12,8051482,0.4272,2.23,158238037.2,86.755,89.699,45.29
04/03/1903,86.98,84.92,87.35,83.98,9467063,-2.3684,3.37,92078989.6,86.667,89.48,34.55
05/03/1903,84.92,84.17,86.59,84.12,2000367,-0.8832,2.47,168866878.2,86.49,89.246,31.61
06/03/1903,84.17,85.24,85.69,83.69,7807202,1.2712,2,316277044.4,86.348,89.025,39.52
09/03/1903,85.24,84.74,86.29,84.5,7954069,-0.5866,1.79,285613820.7,86.248,88.832,37.34
10/03/1903,84.74,84.66,84.84,83.63,4296049,-0.0944,1.21,290428355.9,86.167,88.595,36.99
11/03/1903,84.66,84.29,85.48,83.66,2956158,-0.437,1.82,151289092.8,86.01,88.374,35.34
12/03/1903,84.29,84.01,84.99,83.8,3175354,-0.3322,1.19,222306478.7,85.832,88.161,34.1
13/03/1903,84.01,84.86,85.48,83.28,6210686,1.0118,2.2,360820475.4,85.688,87.987,40.89
16/03/1903,84.86,85.44,85.72,82.56,4633897,0.6835,3.16,175281504.2,85.56,87.86,45.05
17/03/1903,85.44,85.64,87.23,85.19,1357506,0.2341,2.04,288652105.2,85.51,87.72,46.44
18/03/1903,85.64,85.76,86.34,85.32,3758654,0.1401,1.02,175785621,85.505,87.594,47.31
19/03/1903,85.76,84.59,87.42,84.3,2369049,-1.3643,3.12,248253798.3,85.441,87.48,40.44
20/03/1903,84.59,84.1,85.78,83.88,820173,-0.5793,1.9,343725987.8,85.358,87.333,37.95
23/03/1903,84.1,85.79,86.67,84.1,4271038,2.0095,2.57,229756293.7,85.33,87.204,49.49
24/03/1903,85.79,87.27,88.83,85.24,2618103,1.7251,3.59,355452325.7,85.372,87.103,57.02
25/03/1903,87.27,86.23,87.46,85.36,6002793,-1.1917,2.1,181690439.3,85.377,86.976,51.24
26/03/1903,86.23,84.85,87.65,84.26,9301130,-1.6004,3.39,231059240.7,85.308,86.808,44.75
27/03/1903,84.85,84.88,85.01,84.49,2263573,0.0354,0.52,185323226.8,85.252,86.671,44.92
30/03/1903,84.88,84.64,85.09,82.36,8425741,-0.2828,2.73,419537707,85.153,86.52,43.8
31/03/1903,84.64,83.81,85.19,81.31,8252787,-0.9806,3.88,364094602.7,84.994,86.382,40.09
01/04/1903,83.81,84.5,85.29,83.67,6036126,0.8233,1.62,167654693.2,84.974,86.262,44.31
02/04/1903,84.5,83.92,85.25,83.42,8963742,-0.6864,1.83,146051056.3,84.961,86.126,41.66
03/04/1903,83.92,82.94,85.67,80.33,8436180,-1.1678,5.34,289632615.2,84.846,85.991,37.56
06/04/1903,82.94,82.38,83.94,82.1,1004480,-0.6752,1.84,148143154.1,84.728,85.858,35.42
07/04/1903,82.38,79.64,84.22,79.37,9303517,-3.3261,4.85,128461788.3,84.477,85.701,27.23
08/04/1903,79.64,80.28,81.94,79.57,5802810,0.8036,2.37,101084341.7,84.276,85.546,31.23
09/04/1903,80.28,79.06,82.01,77.82,4959047,-1.5197,4.19,186260669.3,84.029,85.384,28.06
10/04/1903,79.06,78.46,79.82,77.36,8162074,-0.7589,2.46,167433079.4,83.709,85.205,26.63
13/04/1903,78.46,79.23,81.62,77.86,5722354,0.9814,3.76,128574837.3,83.398,85.058,31.46
14/04/1903,79.23,79.81,80.01,78.86,3659736,0.732,1.15,330297162,83.107,84.904,34.93
15/04/1903,79.81,79.21,80.32,77.97,2919760,-0.7518,2.35,92642361.4,82.78,84.755,33.07
16/04/1903,79.21,79.7,81.28,79.09,9922232,0.6186,2.19,370701220.2,82.535,84.595,36.07
17/04/1903,79.7,79.81,80.57,79.06,3975282,0.138,1.51,304584536.6,82.32,84.429,36.76
20/04/1903,79.81,80.2,80.62,79.52,9501244,0.4887,1.1,196580550.8,82.041,84.298,39.25
21/04/1903,80.2,82.28,83.99,79.38,7071862,2.5935,4.61,332800331.1,81.792,84.218,50.45
22/04/1903,82.28,82.83,83.13,81.57,5395854,0.6684,1.56,212715084.5,81.622,84.126,52.92
23/04/1903,82.83,85.04,86.62,82.82,4933680,2.6681,3.8,376324747,81.631,84.076,61.28
24/04/1903,85.04,85.73,88.07,82.75,3419538,0.8114,5.32,176093871.3,81.674,84.035,63.46
27/04/1903,85.73,87.16,88.64,84.58,4587358,1.668,4.06,209835797.6,81.8,84.019,67.55
28/04/1903,87.16,87.15,88.21,86.67,6917100,-0.0115,1.54,278087348,81.966,84.029,67.49
29/04/1903,87.15,88.73,89.19,86.3,5325034,1.813,2.89,404252337.4,82.178,84.086,71.56
30/04/1903,88.73,90.24,90.64,88.38,4107893,1.7018,2.26,348876809,82.494,84.174,74.8
01/05/1903,90.24,91.07,93.31,89.56,9878366,0.9198,3.75,368200933.7,82.9,84.28,76.4
04/05/1903,91.07,90.62,91.45,89.87,5575633,-0.4941,1.58,160244468.2,83.313,84.365,73.67
05/05/1903,90.62,89.7,90.65,89.57,5785193,-1.0152,1.08,226783266.6,83.816,84.431,68.32
06/05/1903,89.7,88.93,90.95,87.15,4638334,-0.8584,3.8,352519138.7,84.248,84.487,64.11
07/05/1903,88.93,90.42,91.24,87.43,7334953,1.6755,3.81,445316505.3,84.816,84.571,68.19
08/05/1903,90.42,90.6,93.25,90.22,4474507,0.1991,3.03,229940635.9,85.423,84.662,68.66
11/05/1903,90.6,90.65,91.53,90.4,3407679,0.0552,1.13,433180574.5,85.994,84.743,68.79
12/05/1903,90.65,91.13,91.36,89.86,8938923,0.5295,1.5,286962957,86.56,84.826,70.13
13/05/1903,91.13,91.6,92.23,90.95,8937324,0.5157,1.28,367349836,87.18,84.96,71.42
14/05/1903,91.6,90.98,92.1,90.56,544592,-0.6769,1.54,109457949.6,87.744,85.096,67.28
15/05/1903,90.98,90.59,91.03,89.49,6199031,-0.4287,1.54,95574824.59,88.282,85.203,64.74
18/05/1903,90.59,89,92,88.21,3167172,-1.7552,3.79,426261054.9,88.722,85.288,55.53
19/05/1903,89,89.66,90.58,88.76,1948739,0.7416,1.82,128276590.2,89.092,85.388,58.19
20/05/1903,89.66,90.49,90.56,88.37,2137258,0.9257,2.19,391401939.5,89.474,85.512,61.32
21/05/1903,90.49,89.19,91.99,88.93,1046530,-1.4366,3.06,149353805.1,89.682,85.616,54.44
22/05/1903,89.19,89.66,91.19,88.15,1095482,0.527,3.04,315990586.9,89.878,85.712,56.35
25/05/1903,89.66,88.97,90.68,88.45,620451,-0.7696,2.23,270867504.8,89.969,85.782,52.85
26/05/1903,88.97,91.24,92.87,88.86,3782839,2.5514,4.01,136142517.1,90.174,85.894,61.35
27/05/1903,91.24,92.37,94.95,91.18,2928604,1.2385,3.77,172730335.6,90.355,86.027,64.76
28/05/1903,92.37,91.01,94.28,90.44,6034684,-1.4723,3.84,321668150.6,90.394,86.155,58.12
29/05/1903,91.01,92.14,93.22,90.62,6561634,1.2416,2.6,415448580.9,90.448,86.316,61.64
01/06/1903,92.14,93.53,96.19,90.06,4545013,1.5086,6.13,158528014.2,90.593,86.471,65.48
02/06/1903,93.53,92.29,93.88,92.05,5567366,-1.3258,1.83,286856322.2,90.722,86.571,59.73
03/06/1903,92.29,92.14,92.81,91.3,8420262,-0.1625,1.51,458615843,90.883,86.689,59.06
04/06/1903,92.14,90.81,92.39,89.79,4093064,-1.4435,2.6,256461888.8,90.902,86.808,53.3
05/06/1903,90.81,90.11,91.54,90.01,3235714,-0.7708,1.53,145250456.4,90.878,86.913,50.51
08/06/1903,90.11,89.98,91.33,89.26,7717105,-0.1443,2.07,418013706,90.844,87.02,49.99
09/06/1903,89.98,91.23,91.65,89.7,7800575,1.3892,1.95,416823736.7,90.85,87.168,54.83
10/06/1903,91.23,90.17,91.46,89.45,6619632,-1.1619,2.01,102756701.9,90.778,87.282,50.38
11/06/1903,90.17,90.49,91.74,89.24,4505214,0.3549,2.5,232186501.3,90.754,87.413,51.66
12/06/1903,90.49,90.31,91.99,89.17,3866446,-0.1989,2.82,438264156.8,90.739,87.56,50.86
15/06/1903,90.31,91.62,93.38,89.55,1755215,1.4506,3.83,263888668.7,90.87,87.745,56.14
16/06/1903,91.62,90.21,93.71,88.52,6479611,-1.539,5.19,311555870.1,90.898,87.957,49.92
17/06/1903,90.21,89.86,90.47,89.57,9994790,-0.388,0.9,172107735.9,90.866,88.148,48.49
18/06/1903,89.86,89.9,90.23,88.51,3223584,0.0445,1.72,341071831.9,90.902,88.365,48.67
19/06/1903,89.9,90.2,91.91,88.55,2295909,0.3337,3.36,293766026.5,90.929,88.6,50.09
22/06/1903,90.2,90.95,92.23,90.1,9805461,0.8315,2.13,299724404.9,91.028,88.834,53.55
23/06/1903,90.95,89.32,91.5,87.31,6994121,-1.7922,4.19,302459355.6,90.932,89.024,46.07
24/06/1903,89.32,90.03,90.6,89,766756,0.7949,1.6,94236070.78,90.815,89.241,49.39
25/06/1903,90.03,89.14,90.94,88.23,1276476,-0.9886,2.71,113728755.1,90.722,89.43,45.6
26/06/1903,89.14,89.98,90.98,88.63,1550844,0.9423,2.35,394182447.6,90.614,89.633,49.54
29/06/1903,89.98,89.66,91.12,89.24,9966545,-0.3556,1.88,311081415.7,90.42,89.822,48.11
30/06/1903,89.66,91.11,91.63,88.93,3346050,1.6172,2.7,383018265.9,90.361,89.999,54.5
01/07/1903,91.11,91.26,91.48,90.29,1109622,0.1646,1.19,313363504.7,90.317,90.167,55.12
02/07/1903,91.26,91.13,91.8,91,9147270,-0.1425,0.8,133086267.2,90.333,90.289,54.43
03/07/1903,91.13,91.63,91.81,90.28,3401278,0.5487,1.53,315318109.2,90.409,90.407,56.67
06/07/1903,91.63,92.33,92.94,90.11,2818362,0.7639,2.83,170853078.1,90.527,90.511,59.66
07/07/1903,92.33,92.7,93.75,90.21,7034720,0.4007,3.54,323489953.1,90.6,90.622,61.19
08/07/1903,92.7,92.35,94.36,91.65,2754999,-0.3776,2.71,332249213.7,90.709,90.694,58.92
09/07/1903,92.35,90.79,92.75,90.29,5837749,-1.6892,2.46,281515412,90.724,90.705,50.02
10/07/1903,90.79,91.33,93.09,89.65,7516027,0.5948,3.44,102685613.4,90.775,90.71,52.68
13/07/1903,91.33,91.99,93,90.46,4944287,0.7227,2.54,131899277.6,90.794,90.738,55.78
14/07/1903,91.99,92.03,92.41,91.38,8097252,0.0435,1.03,298444552.4,90.884,90.784,55.97
15/07/1903,92.03,92.84,93.77,91.99,4431137,0.8801,1.78,152778227.3,91.034,90.862,59.72
16/07/1903,92.84,92.85,94.38,92.78,3548472,0.0108,1.6,131973660.9,91.181,90.911,59.76
17/07/1903,92.85,93.28,93.49,92.58,6173769,0.4631,0.91,143944728.5,91.335,90.965,61.76
20/07/1903,93.28,92,94.01,91.64,2433366,-1.3722,2.37,374725026.5,91.388,90.992,53.27
21/07/1903,92,92.45,92.66,90.87,3483382,0.4891,1.79,260889057.7,91.544,91.018,55.59
22/07/1903,92.45,92.37,93.81,89.66,116150,-0.0865,4.15,169870973.3,91.661,91.033,55.06
23/07/1903,92.37,92.47,92.93,91.94,9438162,0.1083,0.99,268864723.3,91.828,91.063,55.62
24/07/1903,92.47,92.16,93.51,90.88,9114630,-0.3352,2.63,374830286.6,91.936,91.095,53.4
27/07/1903,92.16,93.6,95.51,91.98,6487845,1.5625,3.53,452137564.3,92.134,91.187,61.16
28/07/1903,93.6,94.99,96.02,92.12,4498748,1.485,3.9,418907711.9,92.328,91.293,66.9
29/07/1903,94.99,93.64,95.58,92.93,8245810,-1.4212,2.65,203688736,92.446,91.356,57.95
30/07/1903,93.64,93.69,93.71,93.08,9308731,0.0534,0.63,230419934.3,92.574,91.446,58.17
31/07/1903,93.69,92.01,95.45,91.13,4770642,-1.7931,4.32,358292114.7,92.594,91.493,48.8
03/08/1903,92.01,92.8,94.66,91.71,5458753,0.8586,2.95,370831943,92.617,91.57,52.66
04/08/1903,92.8,91.79,93.57,91.76,6553216,-1.0884,1.81,118304241.3,92.572,91.581,47.71
05/08/1903,91.79,92.03,92.98,91.52,3238729,0.2615,1.46,161883372.6,92.556,91.574,48.94
06/08/1903,92.03,91.38,92.83,91.11,6004878,-0.7063,1.72,141004152.6,92.585,91.581,45.8
07/08/1903,91.38,91.43,91.48,90.71,608924,0.0547,0.77,373419438.9,92.59,91.567,46.09
10/08/1903,91.43,91.28,92.09,90.81,4215100,-0.1641,1.28,308496900.4,92.554,91.522,45.31
11/08/1903,91.28,91.88,92.29,91.18,1076553,0.6573,1.11,385006357.5,92.547,91.514,49
12/08/1903,91.88,91.24,93.07,89.82,3091341,-0.6966,3.25,417762666.7,92.467,91.496,45.48
13/08/1903,91.24,90.67,93.48,90,7685836,-0.6247,3.48,372801278.9,92.358,91.493,42.54
14/08/1903,90.67,93.03,93.97,89.83,2389767,2.6028,4.14,115366416.9,92.346,91.552,55.38
17/08/1903,93.03,93.19,93.81,92.64,8765912,0.172,1.17,306439478.5,92.405,91.616,56.1
18/08/1903,93.19,93.12,93.38,93,655409,-0.0751,0.38,236674578.2,92.438,91.654,55.68
19/08/1903,93.12,93.35,95.1,91.87,8387735,0.247,3.23,206180568.7,92.488,91.717,56.82
20/08/1903,93.35,93.12,93.46,92.57,453119,-0.2464,0.89,319344822.1,92.52,91.77,55.28
21/08/1903,93.12,93.16,93.67,92.89,452732,0.043,0.78,202546943.9,92.57,91.827,55.51
24/08/1903,93.16,95.68,96.21,92.67,9648817,2.705,3.54,269887863,92.674,91.908,66.86
25/08/1903,95.68,96.73,97.83,95.55,7476263,1.0974,2.28,189523447,92.761,92.038,70.27
26/08/1903,96.73,97.32,98.43,95.91,9322664,0.6099,2.52,468533755.5,92.945,92.188,72.01
27/08/1903,97.32,97.83,98.75,96.72,8487482,0.524,2.03,221048912.5,93.152,92.346,73.46
28/08/1903,97.83,97.78,98.38,97.24,2642670,-0.0511,1.14,404079614,93.44,92.498,73.06
31/08/1903,97.78,98.42,99.23,96.92,7465745,0.6545,2.31,428043351.8,93.722,92.647,74.93
01/09/1903,98.42,99.24,100.73,98.4,8601646,0.8332,2.33,131965201.7,94.094,92.846,77.13
